name,is_closed,url,review_count,categories,rating,latitude,longitude,price,address1,city,country,state,distance,price_numeric
Fazenda Barba Negra,False,https://www.yelp.com/biz/fazenda-barba-negra-porto-alegre?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,8,Steakhouses,4.0,-30.0256271,-51.1894913,$$,"R. Tenente-Coronel Fabrício Pilar, 791",Porto Alegre,BR,RS,2155.92,2.0
Pastel com Borda,False,https://www.yelp.com/biz/pastel-com-borda-porto-alegre?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,4,"Diners, Soup, Brazilian Empanadas",4.0,-30.027277,-51.214962,$,"Av. Cristóvão Colombo, 245",Porto Alegre,BR,RS,1725.77,1.0
La Cafeteria,False,https://www.yelp.com/biz/la-cafeteria-porto-alegre?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,4,"Cafes, Breakfast & Brunch, Vegan, Coffee & Tea",4.0,-30.0352173,-51.2114143,$$,"Avenida Osvaldo Aranha, 1098",Porto Alegre,BR,RS,868.93,2.0
Garten Bistrô,False,https://www.yelp.com/biz/garten-bistr%C3%B4-porto-alegre?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,1,Restaurants,4.0,-30.0566959,-51.1729698,$,"Avenida Ipiranga, 6681",Porto Alegre,BR,RS,3705.96,1.0
Armazém Ventura,False,https://www.yelp.com/biz/armaz%C3%A9m-ventura-porto-alegre?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,3,Restaurants,4.0,-30.0373001,-51.1875305,$$,Av. Nilópolis 5,Porto Alegre,BR,RS,1543.24,2.0
Bier Markt Vom Fass,False,https://www.yelp.com/biz/bier-markt-vom-fass-porto-alegre?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,4,"Breweries, Brasseries, Beer Bar",4.0,-30.021568235849,-51.2035668290733,$$,"R. Barão de Santo Ângelo, 497",Porto Alegre,BR,RS,2044.04,2.0
Café Santo de Casa,False,https://www.yelp.com/biz/caf%C3%A9-santo-de-casa-porto-alegre?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,5,"Bars, Cafes, Italian",4.0,-30.0313892,-51.2345314,$$$,R. dos Andradas 736,Porto Alegre,BR,RS,3039.64,3.0
Subway,False,https://www.yelp.com/biz/subway-porto-alegre-18?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,1,"Diners, Sandwiches",3.0,-30.0409946,-51.2041359,,"Rua Silva Só, 371",Porto Alegre,BR,RS,144.93,
Trés Jolie Gastronomia,False,https://www.yelp.com/biz/tr%C3%A9s-jolie-gastronomia-porto-alegre?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,2,"Bistros, Cooking Classes",4.5,-30.0192394,-51.1639671,,"Avenida João Wallig, 788",Porto Alegre,BR,RS,4534.74,
Bauru Country,False,https://www.yelp.com/biz/bauru-country-porto-alegre-2?adjust_creative=CBM7ZjWiczNoE0SNVf88LA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=CBM7ZjWiczNoE0SNVf88LA,1,"Diners, Fast Food, Burgers",4.0,-30.0295963,-51.1927605,,"Rua Pedro Ivo, 157",Porto Alegre,BR,RS,1603.92,
