data_hora;temp_ambiente;temp_agua
16/6/2023 14:48:44;27.86;29.56
16/6/2023 14:49:15;27.86;29.50
16/6/2023 14:49:46;27.86;29.56
16/6/2023 14:50:16;27.86;29.56
16/6/2023 14:50:47;27.86;29.50
16/6/2023 14:51:18;27.86;29.50
16/6/2023 14:51:48;27.86;29.50
16/6/2023 14:52:19;27.86;29.50
16/6/2023 14:52:50;27.86;29.50
16/6/2023 14:53:20;27.86;29.50
16/6/2023 14:53:51;27.86;29.56
16/6/2023 14:54:22;27.86;29.56
16/6/2023 14:54:52;27.86;29.56
16/6/2023 14:55:23;27.86;29.69
16/6/2023 14:55:54;27.86;29.75
16/6/2023 14:56:24;27.86;29.75
16/6/2023 14:56:55;27.86;29.75
16/6/2023 14:57:26;27.86;29.75
16/6/2023 14:57:56;27.86;29.81
16/6/2023 14:58:27;27.86;29.75
16/6/2023 14:58:58;27.86;29.81
16/6/2023 14:59:28;27.86;29.87
16/6/2023 14:59:59;27.86;29.87
16/6/2023 15:0:30;27.86;29.81
16/6/2023 15:1:0;27.86;29.81
16/6/2023 15:1:31;27.86;29.81
16/6/2023 15:2:2;27.86;29.81
16/6/2023 15:2:32;27.86;29.81
16/6/2023 15:3:3;27.86;29.81
16/6/2023 15:3:33;27.86;29.81
16/6/2023 15:4:4;27.86;29.81
16/6/2023 15:4:35;27.86;29.81
16/6/2023 15:5:5;27.86;29.81
16/6/2023 15:5:36;27.86;29.81
16/6/2023 15:6:7;27.86;29.81
16/6/2023 15:6:37;27.86;29.81
16/6/2023 15:7:8;27.86;29.75
16/6/2023 15:7:39;27.86;29.75
16/6/2023 15:8:9;27.86;29.69
16/6/2023 15:8:40;27.86;29.75
16/6/2023 15:9:11;27.86;29.75
16/6/2023 15:9:41;27.86;29.75
16/6/2023 15:10:12;27.86;29.69
16/6/2023 15:10:43;27.86;29.69
16/6/2023 15:11:13;27.86;29.69
16/6/2023 15:11:44;27.86;29.75
16/6/2023 15:12:15;27.86;29.81
16/6/2023 15:12:45;27.86;29.87
16/6/2023 15:13:16;27.86;29.87
16/6/2023 15:13:47;27.86;29.87
16/6/2023 15:14:17;27.86;29.87
16/6/2023 15:14:48;27.86;29.94
16/6/2023 15:15:19;27.86;30.00
16/6/2023 15:15:49;27.86;30.00
16/6/2023 15:16:20;27.86;29.94
16/6/2023 15:16:51;27.86;29.94
16/6/2023 15:17:21;27.86;29.94
16/6/2023 15:17:52;27.86;30.00
16/6/2023 15:18:23;27.86;30.00
16/6/2023 15:18:53;27.86;29.94
16/6/2023 15:19:24;27.86;29.94
16/6/2023 15:19:55;27.86;30.00
16/6/2023 15:20:25;27.86;30.00
16/6/2023 15:20:56;27.86;29.94
16/6/2023 15:21:27;27.86;29.94
16/6/2023 15:21:57;27.86;29.94
16/6/2023 15:22:28;27.86;29.94
16/6/2023 15:22:59;27.86;29.94
16/6/2023 15:23:29;27.86;29.94
16/6/2023 15:24:0;27.86;29.87
16/6/2023 15:24:31;27.86;29.94
16/6/2023 15:25:1;27.86;29.94
16/6/2023 15:25:32;27.86;29.87
16/6/2023 15:26:3;27.86;29.87
16/6/2023 15:26:33;27.86;29.87
16/6/2023 15:27:4;27.86;29.87
16/6/2023 15:27:35;27.86;29.81
16/6/2023 15:28:5;27.86;29.87
16/6/2023 15:28:36;27.86;29.87
16/6/2023 15:29:7;27.86;29.81
16/6/2023 15:29:37;27.86;29.81
16/6/2023 15:30:8;27.86;29.81
16/6/2023 15:30:39;27.86;29.81
16/6/2023 15:31:9;27.86;29.87
16/6/2023 15:31:40;27.86;29.87
16/6/2023 15:32:11;27.86;29.94
16/6/2023 15:32:41;27.86;30.00
16/6/2023 15:33:12;27.86;30.00
16/6/2023 15:33:43;27.86;30.06
16/6/2023 15:34:13;27.86;30.06
16/6/2023 15:34:44;27.86;29.94
16/6/2023 15:35:15;27.86;30.00
16/6/2023 15:35:45;27.86;29.94
16/6/2023 15:36:16;27.86;30.06
16/6/2023 15:36:47;27.86;30.00
16/6/2023 15:37:17;27.86;30.00
16/6/2023 15:37:48;27.86;30.00
16/6/2023 15:38:19;27.86;30.06
16/6/2023 15:38:49;27.86;30.00
16/6/2023 15:39:20;27.86;30.00
16/6/2023 15:39:51;27.86;30.00
16/6/2023 15:40:21;27.86;30.00
16/6/2023 15:40:52;27.86;29.94
16/6/2023 15:41:23;27.86;29.94
16/6/2023 15:41:53;27.86;30.00
16/6/2023 15:42:24;27.86;29.94
16/6/2023 15:42:55;27.86;29.94
16/6/2023 15:43:25;27.86;29.94
16/6/2023 15:43:56;27.86;29.87
16/6/2023 15:44:27;27.37;29.87
16/6/2023 15:44:57;27.37;29.81
16/6/2023 15:45:28;27.37;29.81
16/6/2023 15:45:59;27.37;29.81
16/6/2023 15:46:29;27.37;29.81
16/6/2023 15:47:0;27.37;29.81
16/6/2023 15:47:31;27.37;29.81
16/6/2023 15:48:1;27.37;29.81
16/6/2023 15:48:32;27.37;29.87
